Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
MakeSWCanvasSurface,4,False,True,True,False,False
MakeSurface,2,True,True,True,False,False
MakeRasterDirectSurface,4,True,True,True,False,False
flush,1,True,False,True,True,False
dispose,1,True,True,True,True,False
b,1,True,False,False,True,False
c,1,True,False,False,True,False
e,1,True,False,False,True,False
f,1,True,False,False,True,False
k,1,True,False,False,True,False
m,1,True,True,False,True,False
GetWebGLContext,4,False,True,True,False,False
deleteContext,2,True,True,True,True,False
MakeWebGLContext,4,False,True,True,False,False
getResourceCacheLimitBytes,5,True,True,True,True,False
getResourceCacheUsageBytes,5,True,True,True,True,False
releaseResourcesAndAbandonContext,5,True,True,True,True,False
setResourceCacheLimitBytes,5,True,True,True,True,False
MakeOnScreenGLSurface,5,False,True,True,False,False
MakeRenderTarget,3,True,True,True,False,False
MakeWebGLCanvasSurface,5,False,True,True,False,False
makeImageFromTexture,4,True,True,True,True,False
makeImageFromTextureSource,5,True,True,True,True,False
updateTextureFromSource,4,True,True,True,True,False
freeSrc,2,True,False,True,True,False
MakeLazyImageFromTextureSource,6,True,True,True,False,False
Kd,1,False,False,True,False,False
le,1,True,False,True,True,False
b,1,True,False,False,True,False
c,1,True,False,False,True,False
e,1,True,False,False,True,False
f,1,True,False,False,True,False
k,1,True,False,False,True,False
m,1,True,True,False,True,False
l,1,True,False,False,True,False
q,1,True,False,False,True,False
x,1,True,True,False,True,False
y,1,True,False,False,True,False
B,1,True,False,False,False,False
D,1,True,False,False,False,False
v,1,True,False,False,True,False
E,1,True,False,False,False,False
Color,1,True,False,True,False,False
ColorAsInt,3,True,True,True,False,False
Color4f,3,True,False,False,False,False
getColorComponents,3,True,True,True,True,False
parseColorString,3,True,True,True,True,False
multiplyByAlpha,3,True,True,True,True,False
Malloc,1,False,True,True,False,False
Free,1,True,False,True,False,False
g,1,True,False,False,True,False
MakeFromCmds,3,False,True,True,False,False
MakeFromVerbsPointsWeights,5,True,True,True,False,False
addArc,2,True,True,True,True,False
addCircle,2,True,True,True,True,False
addOval,2,True,True,True,True,False
addPath,2,True,True,True,True,False
addPoly,2,True,True,True,True,False
addRect,2,True,True,True,True,False
addRRect,3,True,True,False,True,False
addVerbsPointsWeights,4,True,True,True,True,False
arc,1,True,False,True,True,False
arcToOval,3,True,False,True,True,False
arcToRotated,3,True,True,True,True,False
arcToTangent,3,True,False,True,True,False
close,1,True,True,True,True,False
conicTo,2,True,False,True,True,False
computeTightBounds,3,True,True,True,True,False
cubicTo,2,True,False,True,True,False
dash,1,True,False,True,True,False
getBounds,2,True,True,True,True,False
lineTo,2,True,False,True,True,False
moveTo,2,True,True,True,True,False
offset,1,True,True,True,True,False
quadTo,2,True,False,True,True,False
rArcTo,3,True,True,False,True,False
rConicTo,3,True,False,False,True,False
rCubicTo,3,True,False,False,True,False
rLineTo,3,True,False,False,True,False
rMoveTo,3,True,True,False,True,False
rQuadTo,3,True,False,False,True,False
stroke,1,True,False,True,True,False
transform,1,True,True,True,True,False
trim,1,True,True,True,True,False
encodeToBytes,3,True,False,True,True,False
makeShaderCubic,3,True,True,True,True,False
makeShaderOptions,3,True,True,True,True,False
readPixels,2,True,True,True,True,False
clear,1,True,False,True,True,False
clipRRect,3,True,True,False,True,False
clipRect,2,True,True,True,True,False
concat,1,False,False,True,True,False
drawArc,2,True,True,True,True,False
drawAtlas,2,True,True,True,True,False
drawCircle,2,True,True,True,True,False
drawColor,2,True,True,True,True,False
drawColorInt,3,True,True,True,True,False
drawColorComponents,3,True,True,True,True,False
drawDRRect,3,False,True,True,True,False
drawImage,2,True,True,True,True,False
drawImageCubic,3,True,True,True,True,False
drawImageOptions,3,True,True,True,True,False
drawImageNine,3,True,True,True,True,False
drawImageRect,3,True,True,True,True,False
drawImageRectCubic,4,True,True,True,True,False
drawImageRectOptions,4,True,True,True,True,False
drawLine,2,True,True,True,True,False
drawOval,2,True,True,True,True,False
drawPaint,2,True,True,True,True,False
drawParagraph,2,True,True,True,True,False
drawPatch,2,True,True,True,True,False
drawPath,2,True,True,True,True,False
